 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1         46             0        1.097030    6.338993   -0.843315
    2         46             0        0.562472   -4.927704   -0.688193
    3          6             0        5.606289   -1.228832   -1.333617
    4          6             0        5.692282   -2.434732   -1.375916
    5          6             0        5.896575   -3.827033   -1.439414
    6          6             0        7.170572   -4.317940   -1.662217
    7          6             0        7.414864   -5.693642   -1.719716
    8          6             0        6.394460   -6.597836   -1.560011
    9          6             0        5.081763   -6.143829   -1.340007
   10          6             0        3.988759   -7.025623   -1.177102
   11          6             0        2.735062   -6.525116   -0.978898
   12          7             0        2.496370   -5.189615   -0.931400
   13          6             0        3.487574   -4.335320   -1.070205
   14          6             0        4.815671   -4.744827   -1.277509
   15          1             0        7.989275   -3.625945   -1.787922
   16          1             0        8.422362   -6.040647   -1.891319
   17          1             0        6.584854   -7.658637   -1.603210
   18          1             0        4.159653   -8.089824   -1.214500
   19          1             0        1.873659   -7.187111   -0.850494
   20          1             0        3.242079   -3.279719   -1.019306
   21          6             0        5.425796    0.168969   -1.282219
   22          6             0        6.104098    1.008564   -2.170323
   23          6             0        5.879005    2.370265   -2.144325
   24          6             0        4.970211    2.921272   -1.239622
   25          6             0        4.321710    2.081877   -0.330319
   26          6             0        4.546303    0.722476   -0.346817
   27          1             0        6.794693    0.586059   -2.883925
   28          1             0        6.386806    3.005862   -2.853228
   29          1             0        3.661915    2.502982    0.411183
   30          1             0        4.053602    0.078579    0.363086
   31          6             0        4.668718    4.359573   -1.254524
   32          6             0        5.655423    5.336568   -1.425929
   33          6             0        5.298530    6.673770   -1.426830
   34          6             0        3.966432    7.020377   -1.257926
   35          7             0        3.027628    6.090782   -1.104021
   36          6             0        3.354021    4.796681   -1.103220
   37          1             0        6.688821    5.047262   -1.538132
   38          1             0        6.043134    7.443066   -1.551934
   39          1             0        3.640238    8.054079   -1.246827
   40          1             0        2.531918    4.080885   -0.996516
   41          6             0        1.525927    2.439199    4.069590
   42          6             0        1.656234    3.635399    4.194288
   43          6             0        1.822242    5.011798    4.442485
   44          6             0        2.093948    5.443199    5.728583
   45          6             0        2.253357    6.802399    6.016180
   46          6             0        2.147858    7.748998    5.027679
   47          6             0        1.881051    7.355597    3.704081
   48          6             0        1.769253    8.282595    2.642479
   49          6             0        1.521946    7.839294    1.375981
   50          7             0        1.377638    6.519095    1.094784
   51          6             0        1.465637    5.624596    2.055985
   52          6             0        1.715543    5.974197    3.393884
   53          1             0        2.178147    4.717300    6.522784
   54          1             0        2.460862    7.102599    7.031879
   55          1             0        2.269364    8.797097    5.251477
   56          1             0        1.884159    9.335095    2.847177
   57          1             0        1.431047    8.536993    0.538280
   58          1             0        1.337330    4.583996    1.777187
   59          6             0        1.375019    1.055200    3.844193
   60          6             0        0.415313    0.598803    2.935598
   61          6             0        0.304105   -0.747997    2.666900
   62          6             0        1.140603   -1.671200    3.299399
   63          6             0        2.068908   -1.216003    4.237095
   64          6             0        2.189816    0.132396    4.506392
   65          1             0       -0.238685    1.307606    2.454699
   66          1             0       -0.455699   -1.093294    1.984203
   67          1             0        2.722106   -1.917106    4.733094
   68          1             0        2.921621    0.480094    5.219089
   69          6             0        1.056594   -3.096500    2.951402
   70          6             0        1.142592   -4.113899    3.907903
   71          6             0        1.053584   -5.435899    3.507606
   72          6             0        0.881378   -5.727101    2.162807
   73          7             0        0.808779   -4.759702    1.252805
   74          6             0        0.894587   -3.479802    1.621303
   75          1             0        1.259297   -3.866298    4.951502
   76          1             0        1.111782   -6.235298    4.228307
   77          1             0        0.801671   -6.746501    1.802809
   78          1             0        0.851889   -2.732503    0.821802
   79          6             0       -4.108204   -0.751879   -0.153984
   80          6             0       -4.308010   -1.942578   -0.079482
   81          6             0       -4.643217   -3.307076    0.021022
   82          6             0       -5.958018   -3.668968    0.253427
   83          6             0       -6.331425   -5.013366    0.347631
   84          6             0       -5.401131   -6.014071    0.215629
   85          6             0       -4.051230   -5.692479   -0.012976
   86          6             0       -3.046535   -6.677784   -0.148678
   87          6             0       -1.751134   -6.303791   -0.357183
   88          7             0       -1.387128   -4.998594   -0.440686
   89          6             0       -2.293022   -4.050889   -0.327885
   90          6             0       -3.654023   -4.327081   -0.112780
   91          1             0       -6.707614   -2.899464    0.357728
   92          1             0       -7.367226   -5.258661    0.525635
   93          1             0       -5.691036   -7.050470    0.287232
   94          1             0       -3.317341   -7.719583   -0.082475
   95          1             0       -0.956239   -7.047596   -0.465184
   96          1             0       -1.948817   -3.024991   -0.406888
   97          6             0       -3.796098    0.620619   -0.242788
   98          6             0       -2.869399    1.062913   -1.191692
   99          6             0       -2.517092    2.394011   -1.244695
  100          6             0       -3.081884    3.315316   -0.359095
  101          6             0       -4.037383    2.877422    0.559209
  102          6             0       -4.390490    1.544324    0.621713
  103          1             0       -2.440905    0.356309   -1.883492
  104          1             0       -1.821393    2.730506   -1.996498
  105          1             0       -4.481677    3.577126    1.250009
  106          1             0       -5.116889    1.208629    1.345616
  107          6             0       -2.645377    4.718413   -0.382899
  108          6             0       -3.534971    5.788718   -0.238998
  109          6             0       -3.053064    7.085716   -0.274002
  110          6             0       -1.694463    7.299908   -0.450807
