 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1         46             0       -0.379175    4.463503    0.546694
    2         46             0       -0.066731   -6.845797    1.250612
    3          6             0        4.578390   -3.065321    1.687889
    4          6             0        4.822084   -4.249822    1.716591
    5          6             0        5.166177   -5.614924    1.709392
    6          6             0        6.494775   -5.993231    1.773388
    7          6             0        6.863168   -7.342233    1.729389
    8          6             0        5.917662   -8.329128    1.602794
    9          6             0        4.553763   -7.991221    1.530298
   10          6             0        3.532758   -8.955716    1.374903
   11          6             0        2.228260   -8.560209    1.308407
   12          7             0        1.865567   -7.258007    1.410506
   13          6             0        2.789272   -6.327112    1.548901
   14          6             0        4.160671   -6.623019    1.600997
   15          1             0        7.258479   -5.235235    1.857284
   16          1             0        7.909266   -7.601538    1.786986
   17          1             0        6.206356   -9.367330    1.554195
   18          1             0        3.796452   -9.998818    1.303604
   19          1             0        1.420456   -9.276005    1.169111
   20          1             0        2.448678   -5.296810    1.627401
   21          6             0        4.256697   -1.694719    1.614988
   22          6             0        5.179500   -0.782225    1.094783
   23          6             0        4.847106    0.552476    0.987482
   24          6             0        3.589710    1.005884    1.390386
   25          6             0        2.677407    0.093489    1.926690
   26          6             0        3.004501   -1.240512    2.039892
   27          1             0        6.148697   -1.128531    0.770781
   28          1             0        5.558108    1.243072    0.561078
   29          1             0        1.720010    0.438095    2.285893
   30          1             0        2.301798   -1.939908    2.462995
   31          6             0        3.224317    2.422085    1.256385
   32          6             0        4.126123    3.453081    1.538980
   33          6             0        3.716730    4.770683    1.423379
   34          6             0        2.411030    5.041689    1.048783
   35          7             0        1.551824    4.058993    0.772387
   36          6             0        1.940718    2.785691    0.854688
   37          1             0        5.128123    3.220876    1.864876
   38          1             0        4.396535    5.579780    1.636175
   39          1             0        2.035435    6.057891    0.962882
   40          1             0        1.200913    2.038795    0.569592
   41          6             0       -0.624295   -2.882587    5.815307
   42          6             0       -0.621900   -4.066086    6.064409
   43          6             0       -0.676906   -5.425385    6.434412
   44          6             0       -0.836003   -5.765382    7.764613
   45          6             0       -0.949409   -7.103381    8.158716
   46          6             0       -0.917617   -8.116483    7.233817
   47          6             0       -0.746720   -7.817586    5.869716
   48          6             0       -0.713729   -8.813188    4.867418
   49          6             0       -0.527432   -8.458191    3.563117
   50          7             0       -0.348126   -7.167593    3.187314
   51          6             0       -0.391218   -6.207291    4.089912
