,cageset,symmetry,AR,AB,FAMM1,FAMM2,FAMM3,FAMM4,FAMM5,PPD,LAR,octop,lsesum,rellsesum,minitors,maxcrplan,maxMLlength,porediam,relformatione,maxintangledev,m_cube_shape,outcome,tested
0,jd235,,,,,,,,,,,0.6776424386339265,11496.594883746118,,175.51646464713872,84.61212871293678,2.231995967738292,12.357117962261235,,0.04882193475401664,0.01,1,1
1,jd257,,,,,,,,,,,0.6711262244947432,11125.003201673331,,171.67414484372736,73.1684049195919,2.244886188651888,10.492977423477065,,0.04097146822289233,0.175,1,1
2,jd301,,,,,,,,,,,0.6817712398024395,10479.841607949173,,166.84260627658225,109.27439409582479,2.2077307353932456,9.81128196095648,,0.0702975972806712,0.018,1,1
3,jd326,,,,,,,,,,,0.5927110616181134,10789.895260007295,,173.78133711532215,78.1120247929455,2.269185977393654,7.429515695412247,,0.0802858858328932,0.703,1,1
4,jd354,,,,,,,,,,,0.6348551465283737,9629.414554360847,,168.9174246066065,84.91878272723675,2.2767226445045954,8.35035049715451,,0.18307169079855612,0.857,1,1
5,jd370l,,,,,,,,,,,0.6190756515573492,10009.990160434798,,169.78500440572992,123.93506094421863,2.2592399164320724,7.194635873844826,,0.8623374455877411,0.225,1,1
6,jd370d,,,,,,,,,,,0.6189216108896884,10010.28827981092,,169.7850044057299,123.91656175847693,2.2592399164320724,7.193836891622464,,0.8622677048116429,0.225,1,1
