lig,stable,preferred,plane_dev_A,plane_dev_B,plane_dev_C,plane_dev_D,sqpl_op_A,sqpl_op_B,sqpl_op_C,sqpl_op_D,lse_A,lse_B,lse_C,lse_D,energy_A,energy_B,energy_C,energy_D
5C4,True,False,0.3301680201313555,0.5495887342203324,0.03874284406190753,1.0939650544619945,0.907478803586916,0.8818083294513709,0.9843525110919886,0.6926570218242599,77.01089363859501,73.38508896355052,79.19028861925472,84.99461414891994,0.0,15.31144722236786,24.785289108753204,56.81058554595802
5C6,False,True,0.3101404023545475,0.2465833902321433,0.17319283222038664,0.4080155542389434,0.8580341318794069,0.87013884502912,0.9370265609172517,0.9152696233433644,67.8266466310597,47.01295006761211,36.59820642817067,71.21940573258325,59.64976616133936,17.937103342381306,0.0,31.638721692492254
5C3,True,False,0.11351184231963529,0.2225669238383574,0.058399289252398574,0.39969019344811596,0.9779527222451777,0.9775289455951706,0.991516403205043,0.9579784345345511,39.10878944065189,38.463126819289755,38.25587445439305,39.0617973174667,8.54571961297188,2.8113736116793007,0.0,2.291933197178878
5C1,True,True,0.7417947067820378,0.5851881181895573,0.08693752876200202,0.7930341830379862,0.8443465359197431,0.9071499243294694,0.9788886249987342,0.8492237567071333,50.59139225073159,49.83193719066912,46.50426470677485,49.887196845316794,10.039929572609253,6.454003871651366,0.0,21.843219887348823
5C2,True,True,0.19152095636072008,0.3225380326512611,0.0790527309763247,0.4985446292868456,0.9402310426649816,0.9501270073453401,0.9872321347518067,0.9233025501509949,44.924587851186516,49.07419439771911,55.99259679063107,51.214696502604056,16.870361770736054,9.700485742650926,0.0,20.088337813853286
4C6,False,True,0.5948718490372528,0.34602749174663155,0.6049945240749293,0.8472932350570741,0.7127732920599562,0.8043851780664301,0.830419157108793,0.8259563757939126,138.20571651571663,79.04594583885046,65.60455521030235,163.31724985787878,115.89052656688727,31.15557580930181,0.0,128.84531203482766
4C3,True,False,0.03988410926376674,0.04190714159496169,0.032267815042460256,0.09325415991057094,0.998004738166189,0.9950086508128398,0.9924891652121769,0.9947490122262929,63.299305356427794,68.85937072554952,68.20816226056195,68.17442573816516,22.230953624937683,11.091814195737243,11.174638221389614,0.0
4C1,True,False,0.04908424204172946,0.0928407745010631,0.049942868994459225,0.005693707400144632,0.9957997834773161,0.984107503824165,0.98745185587469,0.9962441169211841,54.92766946856864,66.60484686028212,64.9250869161624,78.06382030426175,0.0,9.178268696647137,8.385770209482871,8.659718749346212
4C2,True,True,0.2835366578596518,0.5173126151099741,0.13092587639065115,1.27520089194358,0.7376255508995878,0.8720079725311704,0.9665920753219126,0.6925244870755289,97.77788686807617,71.61994388137828,49.46659402677324,76.43579192558536,122.4105053388048,27.384437700384296,0.0,57.69027738447767
6C3,False,True,0.42105674003174365,0.23510417191810173,0.15701835070480194,0.7480303405776707,0.6976206943243479,0.8181812488124534,0.9311287185797773,0.8585050618738309,98.90603589682723,55.474083309061825,35.49481109928456,80.52853201937978,109.49680982530117,19.128276892006397,0.0,63.75897155050188
6C1,False,True,0.4835594270725801,0.37546047197611987,0.16746620944601137,1.5947700211995928,0.6393957668184428,0.7739715823746786,0.9180846420604819,0.42364622997223217,96.47780307559879,56.139623921655584,38.67179252492497,97.63918693046435,121.55354719550814,42.3493966688402,0.0,118.31237025221344
6C2,False,False,0.2796987185452533,0.303674364401214,0.6944943529141135,0.25451787617757576,0.8758243673906588,0.8623101669280584,0.5137142613560981,0.8966041342917411,135.51528889054316,141.51329364060075,121.54363355957321,153.4086351142323,10.6283277021721,5.708863670239225,0.0,1.933828521054238
3C1,True,False,0.10670824054348052,0.2108167436564159,0.06396459651113949,0.31134924767304734,0.9806762745995949,0.979442087381109,0.9892412755657309,0.9709598178485604,35.58322011202108,38.98816436645575,39.637751259608194,38.40428135904949,2.3786575708072633,2.0472244408447295,0.0,8.825830952147953
3C2,True,True,0.07078200357801291,0.23507831852132238,0.06544970687351404,0.6556694256627748,0.8140251319464354,0.8758959489146466,0.9797241503668707,0.8627950348202011,81.2809385152359,57.551131749816705,46.61913140831166,63.175335482053924,60.32047237432562,20.442873548017815,0.0,44.52436168270651
1C2,False,True,0.12809952142245964,0.24023642263549488,0.10910911449096442,1.045088471962369,0.6687161121109356,0.8072312817622199,0.9336826883722463,0.7724281728903417,78.2122110016935,63.227606621803716,49.202448184893,65.99239300162299,82.12071253766771,17.042280828696676,0.0,62.978904456598684
5D4,False,True,0.16217013957199725,0.3569790969812594,0.41395416910089705,0.8119786860457543,0.9557432917206271,0.9075966765624672,0.8303976179350094,0.830404831477905,82.30529908192693,63.100639825861435,54.12160103209317,65.72165141018922,47.36754046997521,11.809292412479408,0.0,14.698362715891562
5D6,False,False,0.28680538337693046,0.3583806136212911,0.38202120690083863,0.3330070111833133,0.8696593364229495,0.8735343501492482,0.879320739715832,0.9216174581693775,88.01208634919021,72.45987586732372,84.93439178194967,105.13380820228485,5.850286382599734,0.34598737652413547,0.0,18.14737940626219
5D3,True,True,0.0990263093301502,0.2662839041852117,0.002689039947393112,0.4925820495779972,0.9828785209805929,0.9714514467993142,0.9939715709927248,0.9364020700172238,35.099171348294476,27.319705653731944,24.51874163770117,26.713483860570705,22.013589889742434,6.0971794340293854,0.0,6.008150574634783
