 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (KM/Mole),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --    11.4051                11.6263                12.6486
 Red. masses --    11.2630                11.3755                17.1653
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.0497                 0.0810                 0.5118
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1  46     0.00  -0.01   0.01     0.02   0.00   0.01    -0.04   0.00  -0.15
   2  46    -0.00   0.03   0.01     0.03  -0.00   0.02     0.00   0.00  -0.19
   3   6     0.01  -0.00  -0.06     0.01  -0.00   0.11    -0.01  -0.01   0.14
   4   6     0.00  -0.00  -0.09     0.01  -0.00   0.09    -0.02  -0.01   0.10
   5   6     0.01  -0.00  -0.12     0.01  -0.00   0.07    -0.02  -0.01   0.05
   6   6     0.01   0.00  -0.21     0.01  -0.00   0.08    -0.02  -0.01   0.07
   7   6     0.01   0.00  -0.23     0.01   0.00   0.06    -0.02  -0.01   0.03
   8   6     0.01  -0.00  -0.16     0.01   0.00   0.03    -0.01  -0.01  -0.03
   9   7     0.00  -0.00  -0.09     0.01   0.00   0.01    -0.02  -0.01  -0.05
  10   6     0.00  -0.00  -0.07     0.01   0.00   0.03    -0.02  -0.01  -0.01
  11   1     0.00   0.00  -0.07     0.00  -0.00   0.03    -0.01  -0.00   0.03
  12   1     0.00   0.00  -0.08     0.00   0.00   0.02    -0.00  -0.00   0.01
  13   1     0.00   0.00  -0.05     0.00   0.00   0.00    -0.00  -0.00  -0.02
  14   1     0.00  -0.00  -0.00     0.00   0.00   0.00    -0.00  -0.00  -0.01
  15   6     0.01  -0.01  -0.01     0.02   0.00   0.13     0.00  -0.01   0.18
  16   6     0.01  -0.02   0.02     0.03   0.00   0.17     0.04  -0.00   0.28
  17   6     0.01  -0.03   0.06     0.04   0.00   0.19     0.06  -0.00   0.32
  18   6     0.01  -0.02   0.08     0.03   0.00   0.16     0.04  -0.00   0.26
  19   6    -0.00  -0.00   0.05     0.01  -0.00   0.11     0.01  -0.01   0.16
  20   6    -0.00   0.00   0.01     0.01  -0.00   0.10    -0.01  -0.01   0.12
  21   1     0.00  -0.01   0.00     0.01   0.00   0.06     0.02   0.00   0.10
  22   1     0.01  -0.01   0.02     0.02   0.00   0.07     0.03   0.00   0.11
  23   1     0.00  -0.01   0.03     0.01   0.00   0.05     0.02  -0.00   0.08
  24   1    -0.00   0.00  -0.00    -0.00  -0.00   0.02    -0.01  -0.01   0.01
  25   6    -0.01   0.01   0.07     0.00  -0.00   0.08    -0.01  -0.02   0.09
  26   6    -0.02   0.02   0.11    -0.01  -0.01   0.09    -0.04  -0.02   0.11
  27   6    -0.03   0.03   0.12    -0.02  -0.01   0.05    -0.05  -0.03   0.05
  28   6    -0.02   0.02   0.09    -0.01  -0.01   0.02    -0.03  -0.03  -0.03
  29   7    -0.01   0.01   0.06     0.01  -0.00   0.01    -0.00  -0.03  -0.05
