Entry,Index,NAME,Query,Fragment,ANG1,ANG2,ANG3,ANG4,DIST1,DIST2,DIST3,DIST4,NNNN,PDPL1,PDPL2,PDPL3,PDPL4,V1,V2,abs(N1_PLA),abs(N2_PLA),abs(N3_PLA),abs(N4_PLA),abs(PD_PLA)
npd_t4_aromatic|JOZNAP|60,61,JOZNAP,1,3,90.904,178.866,89.696,175.217,2.003,2.027,1.975,2.039,-2.428,85.831,86.306,84.806,86.871,88.532,90.789,0.04,0.04,0.02,0.022,0.038
npd_t4_aromatic|JOZNAP|61,62,JOZNAP,1,4,88.228,175.272,85.199,179.143,1.99,2.005,1.986,2.022,-1.685,87.783,81.471,86.662,87.708,95.62,90.942,0.018,0.016,0.027,0.027,0.021
npd_t4_aromatic|KEVWIR|62,63,KEVWIR,1,1,80.522,117.782,80.522,81.175,1.928,2.056,2.056,1.928,-0.395,89.218,89.113,89.113,89.218,161.694,161.694,0.006,0.006,0.004,0.004,0.0
npd_t4_aromatic|KEVWIR10|63,64,KEVWIR10,1,1,80.522,117.782,80.522,81.175,1.928,2.056,2.056,1.928,-0.395,89.218,89.113,89.113,89.218,161.694,161.694,0.006,0.006,0.004,0.004,0.0
npd_t4_aromatic|KOFZOV|64,65,KOFZOV,1,1,86.466,180.0,86.466,180.0,2.021,2.018,2.018,2.021,0.0,81.603,83.232,83.232,81.603,93.534,93.534,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|KUWTIG|65,66,KUWTIG,1,1,81.331,97.248,85.032,96.525,2.022,2.009,2.026,2.01,-3.825,83.446,81.271,85.77,88.934,177.074,176.204,0.049,0.05,0.051,0.047,0.004
npd_t4_aromatic|LIQVAJ|66,67,LIQVAJ,1,1,81.633,96.562,87.036,94.776,2.012,2.016,2.025,2.008,-2.145,88.468,84.634,89.504,88.738,178.186,175.344,0.032,0.023,0.033,0.021,0.02
npd_t4_aromatic|LOFBAK|67,68,LOFBAK,1,1,86.901,180.0,86.901,180.0,2.022,2.022,2.022,2.022,0.0,80.446,84.476,84.476,80.446,93.099,93.099,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|LOFBEO|68,69,LOFBEO,1,1,86.524,180.0,86.524,180.0,2.022,2.03,2.03,2.022,0.0,86.501,84.885,84.885,86.501,93.476,93.476,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|LOFBIS|69,70,LOFBIS,1,1,86.249,180.0,86.249,180.0,2.012,2.016,2.016,2.012,0.0,82.36,84.325,84.325,82.36,93.751,93.751,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|LOSKOT|70,71,LOSKOT,1,1,80.671,105.824,80.694,98.212,2.035,2.07,2.053,2.016,22.13,80.404,76.318,75.307,81.932,163.704,160.268,0.33,0.318,0.307,0.293,0.026
npd_t4_aromatic|LOSKUZ|71,72,LOSKUZ,1,1,81.923,106.185,80.427,97.094,2.003,2.025,2.068,2.018,-22.781,80.17,72.663,72.649,77.667,158.044,164.488,0.325,0.343,0.292,0.319,0.045
